params,mean_fit_time,mean_score_time,mean_test_score,rank_test_score
{'var_smoothing': 1.0},0.001799774169921875,0.003651332855224609,0.8833333333333332,100
{'var_smoothing': 0.657933224657568},0.0008035182952880859,0.0006014347076416015,0.8916666666666666,96
{'var_smoothing': 0.533669923120631},0.0010002613067626952,0.0005999565124511719,0.8916666666666666,96
{'var_smoothing': 0.43287612810830584},0.001111459732055664,0.0008089542388916016,0.8916666666666666,96
{'var_smoothing': 0.8111308307896871},0.0031280040740966795,0.0010093212127685546,0.8916666666666666,96
{'var_smoothing': 0.3511191734215131},0.0007038593292236328,0.0006019115447998047,0.9,94
{'var_smoothing': 0.2848035868435802},0.00099945068359375,0.0007992267608642578,0.9,94
{'var_smoothing': 0.23101297000831597},0.0007995128631591797,0.0005997657775878906,0.9166666666666666,93
{'var_smoothing': 0.1873817422860384},0.0004989147186279297,0.00111083984375,0.9333333333333333,92
{'var_smoothing': 0.15199110829529336},0.00090484619140625,0.00040135383605957033,0.9416666666666667,91
{'var_smoothing': 0.1},0.0006011486053466797,0.0005997657775878906,0.95,88
{'var_smoothing': 0.08111308307896872},0.0007998466491699219,0.0007019996643066406,0.95,88
{'var_smoothing': 0.12328467394420659},0.000999116897583008,0.0006011009216308593,0.95,88
{'var_smoothing': 0.0657933224657568},0.0012084484100341798,0.0004001140594482422,0.9583333333333333,85
{'var_smoothing': 0.0533669923120631},0.0008097171783447265,0.0006096363067626953,0.9583333333333333,85
{'var_smoothing': 0.04328761281083057},0.0012145519256591796,0.00020170211791992188,0.9583333333333333,85
{'var_smoothing': 6.579332246575682e-07},0.000901174545288086,0.0006017684936523438,0.9666666666666666,1
{'var_smoothing': 1.232846739442066e-07},0.00120391845703125,0.0007105827331542969,0.9666666666666666,1
{'var_smoothing': 1.519911082952933e-07},0.000701284408569336,0.0006025791168212891,0.9666666666666666,1
{'var_smoothing': 1.873817422860383e-07},0.0010247230529785156,0.0005832672119140625,0.9666666666666666,1
{'var_smoothing': 2.310129700083158e-07},0.0013003349304199219,0.0007078170776367188,0.9666666666666666,1
{'var_smoothing': 2.848035868435799e-07},0.0010019779205322266,0.00039973258972167967,0.9666666666666666,1
{'var_smoothing': 3.5111917342151277e-07},0.0008018016815185547,0.0007015228271484375,0.9666666666666666,1
{'var_smoothing': 4.3287612810830526e-07},0.0008860111236572265,0.0005241870880126953,0.9666666666666666,1
{'var_smoothing': 5.336699231206313e-07},0.0008011341094970703,0.0011003971099853515,0.9666666666666666,1
